DO,WT,pH,Tur,CHLa,Cond,COD,NH,TP,TN
10.63,18.15,8.09,60.84,16.12,441.6,3.46,0.06,0.05,1.08
11.06,18.27,8.2,51.64,17.82,439.1,3.45,0.06,0.05,0.99
12.66,20.33,8.5,50.71,21.4,436.82,3.78,0.04,0.05,0.93
11.17,19.87,8.41,41.85,21.16,435.82,3.63,0.04,0.05,0.78
10.01,19.72,8.21,48.76,25.47,438.7,3.51,0.05,0.04,0.92
9.66,20.21,8.23,71.5,27.1,438.91,3.77,0.08,0.06,1.01
9.47,20.79,8.15,89.37,23.8,436.91,3.84,0.09,0.07,0.99
9.28,20.4,8.11,49.97,21.54,437.48,3.39,0.06,0.06,0.9
10.01,20.29,8.23,33.05,16.75,435.97,3.31,0.04,0.05,0.93
10.61,20.24,8.29,29.92,12.74,448.49,3.42,0.03,0.04,1.02
10.83,20.11,8.34,32.24,12.37,451.92,3.53,0.03,0.04,1.1
10.95,20.17,8.49,31.08,12.25,434.12,3.34,0.03,0.04,0.9
10.72,20.27,8.47,28.12,12.71,434.69,3.07,0.03,0.03,0.91
10.52,20.74,8.48,28.81,11.89,437.09,3.31,0.03,0.03,0.86
10.33,21.74,8.46,31.59,12.13,438.48,3.17,0.03,0.04,0.79
9.78,22.84,8.36,38.42,11.06,437.46,3.2,0.03,0.04,0.68
9.43,23.52,8.33,49.1,12.46,437.85,3.3,0.03,0.04,0.76
8.8,24.05,8.18,51.81,9.46,442.01,3.19,0.04,0.04,0.75
8.48,23.76,8.17,49.63,10.02,441.69,3.6,0.05,0.06,0.83
8.5,23.94,8.08,41.05,8.33,446.4,3.21,0.05,0.05,0.61
8.61,24.3,8.07,38.49,7.83,448.89,3.13,0.04,0.04,0.68
8.7,24.13,8.1,42.37,10.71,445.52,3.38,0.05,0.05,0.77
8.74,23.99,8.12,37.31,13.36,444.72,3.16,0.03,0.05,0.77
8.56,22.91,8.07,48.39,15.17,439.16,3.22,0.06,0.05,0.68
8.79,22.49,8.04,49.57,13.25,438.52,3.71,0.06,0.05,0.73
9.1,21.68,7.99,59.6,15.35,438.11,3.17,0.08,0.05,0.89
10.23,22.98,8.18,48.9,17.14,436.35,3.25,0.06,0.05,0.76
9.54,22.75,8.1,46.94,15.86,436.51,3.18,0.04,0.05,0.78
8.98,23.02,8.04,47.15,14.65,439.68,3.17,0.05,0.05,0.81
9.31,24.13,8.08,40.32,11.93,440.05,3,0.05,0.05,0.76
9.66,25.37,8.21,32.24,36.2,437.98,3.16,0.03,0.04,0.73
9.12,25.55,8.16,37.12,11.95,439.19,3.18,0.04,0.04,0.71
9.33,25.15,8.22,32.15,10.09,438.47,3.2,0.04,0.04,0.75
9.87,26.24,8.3,24.81,10.58,437.25,3.12,0.03,0.04,0.71
10.59,26.94,8.42,22.12,10.15,436.26,3.18,0.03,0.03,0.73
9.58,26.59,8.37,30.02,8.1,435.59,3.44,0.04,0.03,0.69
8.8,25.83,8.27,30.53,6.69,438.47,3.14,0.03,0.03,0.65
8.55,24.17,8.18,29.48,6.66,440.13,3.16,0.03,0.04,0.73
9.01,24.53,8.21,26.87,5.67,440.97,3.19,0.03,0.04,0.72
9.77,24.95,8.3,27.42,6.71,440.2,3.46,0.03,0.04,0.73
10.21,25.89,8.38,29.91,15.2,440.59,3.52,0.03,0.04,0.68
10.17,27.08,8.44,31.74,44.23,438.08,3.34,0.03,0.04,0.66
9.43,28.16,8.39,49.47,23.87,443.39,3.55,0.04,0.05,0.73
8.78,28.29,8.34,39.65,12.48,446.16,3.38,0.04,0.05,0.67
8.57,27.97,8.3,29.3,6.77,448.28,3.32,0.03,0.04,0.58
8.36,27.62,8.3,28.52,7.53,450.51,3.69,0.03,0.04,0.59
8.45,27.94,8.25,31.35,6.89,448.9,3.81,0.03,0.04,0.6
8.67,28.42,8.23,34.06,7.56,445.71,4.61,0.04,0.05,0.53
8.35,28.18,8.22,39.15,4.66,440.09,4.64,0.04,0.05,0.6
7.6,26.88,8.03,45.66,5.41,435.38,5.29,0.09,0.06,0.64
7.52,26.03,7.91,56.89,5.26,423.48,3.6,0.13,0.06,0.86
7.4,26.15,7.84,55.38,4.78,417.96,3.53,0.15,0.07,0.95
